범죄,장소,건수
공갈,기타,898
약취와유인,아파트,31
약취와유인,집,31
약취와유인,고속도로,0
약취와유인,노상,84
약취와유인,상점,4
약취와유인,시장노점,0
약취와유인,숙박업소,16
약취와유인,병원,8
약취와유인,사무실,2
약취와유인,공장,0
약취와유인,공사장,0
약취와유인,창고,0
약취와유인,역대합실,2
약취와유인,지하철,3
약취와유인,교통,1
약취와유인,유흥접객업소,0
약취와유인,유원지,5
약취와유인,학교,15
약취와유인,금융기관,0
약취와유인,의료기관,0
약취와유인,종교기관,0
약취와유인,산야,0
약취와유인,해상,0
약취와유인,부대,0
약취와유인,구금장소,0
약취와유인,공지,0
약취와유인,기타,23
체포와감금,아파트,71
체포와감금,집,96
체포와감금,고속도로,5
체포와감금,노상,222
체포와감금,상점,19
체포와감금,시장노점,1
체포와감금,숙박업소,50
체포와감금,병원,31
체포와감금,사무실,43
체포와감금,공장,4
체포와감금,공사장,6
체포와감금,창고,4
체포와감금,역대합실,2
체포와감금,지하철,0
체포와감금,교통,19
체포와감금,유흥접객업소,0
체포와감금,유원지,4
체포와감금,학교,6
체포와감금,금융기관,2
체포와감금,의료기관,47
체포와감금,종교기관,5
체포와감금,산야,3
체포와감금,해상,1
체포와감금,부대,0
체포와감금,구금장소,1
체포와감금,공지,0
체포와감금,기타,122
폭력행위등처벌에관한법률위반,아파트,2640
폭력행위등처벌에관한법률위반,집,3089
폭력행위등처벌에관한법률위반,고속도로,53
폭력행위등처벌에관한법률위반,노상,20769
폭력행위등처벌에관한법률위반,상점,1177
폭력행위등처벌에관한법률위반,시장노점,236
폭력행위등처벌에관한법률위반,숙박업소,738
폭력행위등처벌에관한법률위반,병원,7396
폭력행위등처벌에관한법률위반,사무실,1482
폭력행위등처벌에관한법률위반,공장,385
폭력행위등처벌에관한법률위반,공사장,237
폭력행위등처벌에관한법률위반,창고,25
폭력행위등처벌에관한법률위반,역대합실,140
폭력행위등처벌에관한법률위반,지하철,70
폭력행위등처벌에관한법률위반,교통,116
폭력행위등처벌에관한법률위반,유흥접객업소,108
폭력행위등처벌에관한법률위반,유원지,788
폭력행위등처벌에관한법률위반,학교,755
폭력행위등처벌에관한법률위반,금융기관,30
폭력행위등처벌에관한법률위반,의료기관,251
폭력행위등처벌에관한법률위반,종교기관,122
폭력행위등처벌에관한법률위반,산야,109
폭력행위등처벌에관한법률위반,해상,14
폭력행위등처벌에관한법률위반,부대,5
폭력행위등처벌에관한법률위반,구금장소,18
폭력행위등처벌에관한법률위반,공지,28
폭력행위등처벌에관한법률위반,기타,6620
간통,아파트,241
간통,집,348
간통,고속도로,0
간통,노상,17
간통,상점,4
간통,시장노점,1
간통,숙박업소,590
간통,병원,23
간통,사무실,40
간통,공장,0
간통,공사장,0
간통,창고,0
간통,역대합실,0
간통,지하철,0
간통,교통,16
간통,유흥접객업소,1
간통,유원지,2
간통,학교,1
간통,금융기관,0
간통,의료기관,4
간통,종교기관,4
간통,산야,2
간통,해상,0
간통,부대,0
간통,구금장소,0
간통,공지,0
간통,기타,404
도박과복표,아파트,625
도박과복표,집,2693
도박과복표,고속도로,1
도박과복표,노상,105
도박과복표,상점,420
도박과복표,시장노점,30
도박과복표,숙박업소,156
도박과복표,병원,976
도박과복표,사무실,3706
도박과복표,공장,41
도박과복표,공사장,3
도박과복표,창고,44
도박과복표,역대합실,4
도박과복표,지하철,0
도박과복표,교통,6
도박과복표,유흥접객업소,75
도박과복표,유원지,47
도박과복표,학교,4
도박과복표,금융기관,13
도박과복표,의료기관,4
도박과복표,종교기관,4
도박과복표,산야,15
도박과복표,해상,0
도박과복표,부대,0
도박과복표,구금장소,0
도박과복표,공지,3
도박과복표,기타,4300
과실치사상,아파트,65
과실치사상,집,64
과실치사상,고속도로,2
과실치사상,노상,463
과실치사상,상점,53
과실치사상,시장노점,13
과실치사상,숙박업소,19
과실치사상,병원,171
과실치사상,사무실,35
과실치사상,공장,20
과실치사상,공사장,12
과실치사상,창고,1
과실치사상,역대합실,18
과실치사상,지하철,28
과실치사상,교통,11
과실치사상,유흥접객업소,91
과실치사상,유원지,49
과실치사상,학교,31
과실치사상,금융기관,2
과실치사상,의료기관,25
과실치사상,종교기관,5
과실치사상,산야,14
과실치사상,해상,4
과실치사상,부대,1
과실치사상,구금장소,3
과실치사상,공지,1
과실치사상,기타,208
업무상과실치사상,아파트,56
업무상과실치사상,집,41
업무상과실치사상,고속도로,3
업무상과실치사상,노상,379
업무상과실치사상,상점,58
업무상과실치사상,시장노점,4
업무상과실치사상,숙박업소,54
업무상과실치사상,병원,76
업무상과실치사상,사무실,50
업무상과실치사상,공장,337
업무상과실치사상,공사장,403
업무상과실치사상,창고,16
업무상과실치사상,역대합실,20
업무상과실치사상,지하철,6
업무상과실치사상,교통,39
업무상과실치사상,유흥접객업소,15
업무상과실치사상,유원지,32
업무상과실치사상,학교,28
업무상과실치사상,금융기관,2
업무상과실치사상,의료기관,586
업무상과실치사상,종교기관,9
업무상과실치사상,산야,47
업무상과실치사상,해상,158
업무상과실치사상,부대,2
업무상과실치사상,구금장소,1
업무상과실치사상,공지,5
업무상과실치사상,기타,381
실화,아파트,242
실화,집,354
실화,고속도로,2
실화,노상,171
실화,상점,120
실화,시장노점,7
실화,숙박업소,58
실화,병원,139
실화,사무실,53
실화,공장,196
실화,공사장,28
실화,창고,94
실화,역대합실,10
실화,지하철,0
실화,교통,16
실화,유흥접객업소,1
실화,유원지,11
실화,학교,27
실화,금융기관,6
실화,의료기관,7
실화,종교기관,16
실화,산야,49
실화,해상,27
실화,부대,0
실화,구금장소,0
실화,공지,15
실화,기타,423
주거침입,아파트,1254
주거침입,집,2454
주거침입,고속도로,0
주거침입,노상,153
주거침입,상점,141
주거침입,시장노점,2
주거침입,숙박업소,175
주거침입,병원,197
주거침입,사무실,279
주거침입,공장,72
주거침입,공사장,17
주거침입,창고,26
주거침입,역대합실,5
주거침입,지하철,0
주거침입,교통,7
주거침입,유흥접객업소,9
주거침입,유원지,5
주거침입,학교,56
주거침입,금융기관,4
주거침입,의료기관,36
주거침입,종교기관,65
주거침입,산야,17
주거침입,해상,1
주거침입,부대,0
주거침입,구금장소,0
주거침입,공지,2
주거침입,기타,586
유기,아파트,17
유기,집,24
유기,고속도로,1
유기,노상,27
유기,상점,1
유기,시장노점,0
유기,숙박업소,4
유기,병원,1
유기,사무실,4
유기,공장,0
유기,공사장,0
유기,창고,0
유기,역대합실,2
유기,지하철,1
유기,교통,1
유기,유흥접객업소,0
유기,유원지,3
유기,학교,1
유기,금융기관,0
유기,의료기관,9
유기,종교기관,4
유기,산야,0
유기,해상,1
유기,부대,0
유기,구금장소,0
유기,공지,1
유기,기타,30
교통사고처리,아파트,142
교통사고처리,집,11
교통사고처리,고속도로,489
교통사고처리,노상,196218
교통사고처리,상점,55
교통사고처리,시장노점,30
교통사고처리,숙박업소,0
교통사고처리,병원,0
교통사고처리,사무실,64
교통사고처리,공장,11
교통사고처리,공사장,18
교통사고처리,창고,1
교통사고처리,역대합실,14
교통사고처리,지하철,0
교통사고처리,교통,74
교통사고처리,유흥접객업소,2
교통사고처리,유원지,60
교통사고처리,학교,24
교통사고처리,금융기관,0
교통사고처리,의료기관,16
교통사고처리,종교기관,2
교통사고처리,산야,15
교통사고처리,해상,1
교통사고처리,부대,1
교통사고처리,구금장소,0
교통사고처리,공지,4
교통사고처리,기타,1123
도로교통법위반,아파트,65
도로교통법위반,집,15
도로교통법위반,고속도로,211
도로교통법위반,노상,42824
도로교통법위반,상점,25
도로교통법위반,시장노점,6
도로교통법위반,숙박업소,2
도로교통법위반,병원,2
도로교통법위반,사무실,76
도로교통법위반,공장,0
도로교통법위반,공사장,7
도로교통법위반,창고,0
도로교통법위반,역대합실,2
도로교통법위반,지하철,0
도로교통법위반,교통,14
도로교통법위반,유흥접객업소,0
도로교통법위반,유원지,21
도로교통법위반,학교,5
도로교통법위반,금융기관,2
도로교통법위반,의료기관,4
도로교통법위반,종교기관,0
도로교통법위반,산야,1
도로교통법위반,해상,0
도로교통법위반,부대,0
도로교통법위반,구금장소,0
도로교통법위반,공지,3
도로교통법위반,기타,704
